id,family
2238,1816
2240,2128
2242,1814
2244,2572
2245,4245
2246,5955
2247,1336
2248,5558
2249,5478
2250,4245
2251,5735
2252,4012
2253,4092
2254,6209
2255,325
2259,4815
2260,4213
2261,1269
2262,2961
2263,1428
2266,2014
2268,5365
2269,108
2272,4454
2273,656
2274,1245
2275,1093
2276,6053
2277,966
2278,2277
2279,2042
2280,3527
2283,1493
2285,4634
2286,5452
2287,737
2288,4438
2289,2166
2293,4680
2294,1887
2295,4027
2296,1407
2297,3562
2298,164
2299,6147
2300,1543
2301,3132
2302,4628
2304,1307
2305,1210
2306,47
2310,2888
2311,4497
2312,4323
2315,5804
2316,4118
2318,2277
2320,1418
2321,3677
2322,463
2323,1210
2324,2274
2325,1672
2330,160
2333,3385
2336,485
2337,5545
2339,2736
2340,2035
2341,5180
2342,3555
2345,3923
2347,5751
2348,5010
2351,963
2352,3849
2354,3320
2355,646
2356,2286
2358,2277
2360,1008
2361,1211
2363,6092
2365,4749
2369,804
2370,1968
2371,5485
2372,5503
2373,3674
2374,5373
2376,4965
2378,5162
2379,1041
2381,3834
2382,1408
2383,818
2389,2943
2390,1000
2391,516
2393,6236
2397,4346
2399,5630
2401,2149
2405,5084
2409,531
2410,2277
2413,5609
2414,4282
2415,5873
2420,5413
2421,5749
2425,1252
2426,2987
2427,4350
2428,3858
2429,527
2430,179
2431,5077
2434,2904
2437,5832
2438,5198
2439,5178
2440,146
2442,2935
2444,6230
2445,1829
2446,4844
2448,4898
2449,4306
2450,110
2451,3271
2452,1276
2453,1465
2454,1931
2455,3590
2456,2040
2457,2109
2458,3758
2459,1735
2460,2750
2461,2442
2462,2066
2464,4288
2465,1135
2471,641
2474,3664
2475,2528
2477,6096
2478,5656
2479,2487
2480,2418
2481,1210
2482,5512
2485,4671
2486,5665
2487,4245
2488,751
2491,2230
2493,2167
2494,5789
2495,3122
2497,5703
2498,3506
2499,5259
2500,4544
2501,3528
2502,2156
2505,4671
2506,5701
2507,5751
2509,3992
2510,2050
2511,1983
2513,4768
2514,5168
2515,3118
2516,1941
2517,1664
2519,1475
2522,2956
2523,5907
2524,4375
2525,1670
2526,4671
2527,736
